record_id,employee_id,employee_full_name,department,job_title,pay_period_start,pay_period_end,pay_month,base_salary_monthly,bonus,overtime_hours,overtime_pay,deductions,net_pay,pay_date,payment_method,currency_code
51,51,Kirsten Elwel,Legal,Compensation Analyst,1/23/2026,11/29/2024,3,16745.88,2327.36,49.9,1736.09,4438.29,16371.04,7/16/2025,063113015,CNY
52,52,Shayne Lowson,Accounting,Quality Engineer,10/9/2025,10/9/2026,77,4453.35,13535.7,33.6,2524.63,1571.0,18942.68,10/28/2024,241070459,SEK
53,53,Wesley Chelley,Accounting,Programmer IV,4/29/2025,12/2/2026,100,13862.05,12351.42,5.7,3164.12,1757.94,27619.65,10/11/2024,091906760,IDR
54,54,Nikolas Kilfoyle,Legal,Nurse,4/28/2026,8/5/2024,90,13076.23,10253.68,60.0,4104.53,3823.61,23610.83,12/31/2024,071921794,PHP
55,55,Garfield McCoish,Marketing,Information Systems Manager,5/29/2025,9/13/2026,75,17726.76,5125.3,21.3,432.58,1472.93,21811.71,1/23/2025,111104743,IDR
56,56,Joelynn Polden,Services,Quality Engineer,6/17/2026,3/3/2026,70,2530.34,7098.33,15.6,1775.96,2157.93,9246.7,5/24/2026,091901684,JPY
57,57,Nelie Sturdgess,Legal,Software Consultant,3/22/2026,1/18/2025,98,16167.1,18084.42,41.4,1470.9,3240.07,32482.35,5/4/2026,241272079,IDR
58,58,Emeline Bulteel,Research and Development,Software Engineer III,7/6/2025,7/13/2026,69,8401.31,18132.92,46.0,1096.49,692.72,26938,11/28/2025,114924690,JPY
59,59,Constancy Chasmor,Marketing,Paralegal,6/30/2024,11/10/2026,4,14102.93,1166.3,3.8,5594.87,3653.42,17210.68,9/23/2024,104900721,SEK
60,60,Virgilio Bortoli,Legal,Junior Executive,3/11/2025,10/15/2026,20,14289.91,14751.2,3.2,5889.6,1865.47,33065.24,9/5/2024,282970437,BRL
61,61,Maisie Rajchert,Accounting,Clinical Specialist,4/10/2024,12/17/2025,42,2590.57,6669.35,3.9,3474.31,1617.12,11117.11,4/15/2025,071925224,BRL
62,62,Chiquita Persence,Marketing,Geologist IV,9/21/2024,9/11/2026,15,16910.34,6286.02,12.0,1724.16,4322.49,20598.03,10/20/2024,091308164,PLN
63,63,Molli Rylett,Product Management,Analog Circuit Design manager,5/2/2024,8/15/2025,13,3942.98,4560.43,37.2,4695.22,5216.85,7981.78,1/15/2026,071214472,RSD
64,64,Loree Campkin,Accounting,Actuary,8/6/2026,2/19/2025,96,7473.53,12884.46,8.4,1112.03,440.71,21029.31,4/17/2026,082904726,CNY
65,65,Morey Brimble,Legal,Environmental Specialist,5/3/2026,1/16/2024,49,12140.8,495.42,49.6,1797.88,3264.33,11169.77,7/10/2026,091911001,MXN
66,66,Alain Scones,Business Development,Occupational Therapist,10/7/2025,3/27/2026,95,9963.85,12744.85,57.9,3141.4,2737.92,23112.18,10/21/2025,091406820,MXN
67,67,Shepard Rikkard,Product Management,Structural Engineer,10/3/2024,1/6/2026,87,18620.65,19894.89,30.9,2391.23,3552.36,37354.41,9/8/2024,111311743,CNY
68,68,Dillie Westmerland,Sales,Recruiter,10/30/2025,10/17/2024,39,17980.39,14207.18,38.8,4343.17,6270.12,30260.62,11/2/2026,053101341,SEK
69,69,Anette O'Murtagh,Training,Recruiting Manager,1/30/2025,3/29/2026,89,8988.66,33.13,34.0,5507.29,677.28,13851.8,3/16/2026,021301869,ARS
70,70,Curcio Gillcrist,Business Development,Librarian,9/1/2026,6/8/2024,78,6446.4,9453.8,42.4,1745.95,308.58,17337.57,11/8/2026,053110374,EUR
71,71,Kathleen Dewen,Legal,Desktop Support Technician,1/18/2025,6/25/2024,62,12498.03,16277.5,58.0,842.79,6267.26,23351.06,7/21/2025,084107246,PEN
72,72,Lonee Beverley,Research and Development,Account Coordinator,12/29/2024,5/5/2026,82,14265.13,9838.29,49.2,3126.67,3940.8,23289.29,5/2/2025,271070801,MNT
73,73,Flori Wibrow,Services,GIS Technical Architect,8/15/2026,11/9/2026,34,16848.0,17617.99,17.8,4937.31,4229.28,35174.02,10/1/2025,107002846,MXN
74,74,Dionis Smeuin,Marketing,Media Manager II,11/29/2026,9/13/2024,33,12788.84,13573.73,19.3,451.17,5293.73,21520.01,8/16/2026,111914289,PHP
75,75,Lina Peltz,Research and Development,Clinical Specialist,6/19/2026,11/14/2024,7,18162.02,16466.6,56.9,3290.16,3630.57,34288.21,10/12/2024,021307708,PEN
76,76,Benedetto Deegin,Services,Clinical Specialist,5/27/2026,5/2/2024,33,16891.42,15336.1,15.8,5055.44,3735.83,33547.13,7/31/2026,061120385,SEK
77,77,Debbie Batho,Support,Research Nurse,11/3/2026,9/3/2025,8,9519.6,12108.88,32.6,5050.19,1387.94,25290.73,9/29/2024,071923747,EUR
78,78,Linnea Darlaston,Sales,Help Desk Operator,3/19/2025,3/29/2024,88,5012.22,908.04,14.2,857.51,1128.55,5649.22,4/29/2025,262286109,MXN
79,79,Melisent Kunisch,Training,Food Chemist,1/6/2024,12/9/2025,72,9188.39,16352.67,35.0,1852.88,7962.82,19431.12,6/13/2026,221270318,EUR
80,80,Shani Mussett,Research and Development,Business Systems Development Analyst,1/28/2025,1/29/2024,10,8445.89,3866.56,17.4,4051.55,6699.5,9664.5,4/21/2026,121140276,EUR
81,81,Burnaby Heber,Human Resources,Engineer IV,11/30/2026,9/10/2024,55,14613.79,13221.46,45.6,4210.33,7456.95,24588.63,1/4/2024,322271779,THB
82,82,Emmi Mainston,Engineering,Project Manager,5/29/2025,1/18/2025,12,14904.44,12412.66,44.9,125.08,4221.88,23220.3,3/24/2024,322280485,BWP
83,83,Millisent Danihelka,Sales,Executive Secretary,8/1/2025,4/27/2024,28,16717.41,2636.16,41.3,1725.24,4781.66,16297.15,6/7/2024,056008852,PAB
84,84,Cos Cregg,Marketing,Pharmacist,7/23/2025,10/2/2024,12,19549.92,19723.31,56.2,3374.99,2029.66,40618.56,10/27/2025,011400495,RUB
85,85,Debee Asquith,Services,VP Product Management,10/8/2024,6/17/2025,57,10447.7,7341.33,52.9,934.85,5111.3,13612.58,2/24/2026,111312205,BYR
86,86,Eolanda Dusey,Business Development,Statistician III,8/26/2025,5/1/2026,18,5740.91,10008.92,56.2,2346.94,4600.99,13495.78,4/9/2026,104110113,MDL
87,87,Katheryn Allawy,Support,Nuclear Power Engineer,7/30/2026,2/15/2024,3,16062.84,11132.7,4.1,4559.28,392.83,31361.99,12/24/2024,084205766,RUB
88,88,Janot Zavattari,Product Management,Developer II,2/22/2024,1/5/2024,50,17364.82,7599.63,8.9,3247.94,2571.83,25640.56,5/18/2025,102104600,CNY
89,89,Evan Rasp,Sales,Physical Therapy Assistant,11/23/2025,6/25/2025,97,9531.51,4447.11,38.1,1285.16,3717.58,11546.2,9/19/2026,091211471,ARS
90,90,Irma Wike,Support,Junior Executive,12/2/2026,11/28/2025,40,15438.06,18538.8,49.5,1624.55,961.14,34640.27,3/22/2024,081501175,PHP
91,91,Gregorio McCulloch,Marketing,Automation Specialist I,6/17/2024,12/6/2025,57,7767.54,17054.09,22.7,5350.73,3995.22,26177.14,10/2/2025,101114073,EUR
92,92,Ezri Jennaroy,Training,Social Worker,5/13/2024,1/13/2026,18,2526.8,6203.04,40.5,4711.21,4099.18,9341.87,4/28/2024,107006392,IDR
93,93,Wendie Lenaghen,Marketing,Safety Technician IV,5/4/2024,8/11/2026,77,6811.58,3289.68,39.3,1087.12,1709.03,9479.35,10/19/2025,111904150,EUR
94,94,Niall Trever,Sales,VP Quality Control,11/13/2025,3/16/2025,46,19206.63,10771.03,3.6,1851.98,636.34,31193.3,7/30/2024,272471124,RSD
95,95,Ketti Moulster,Business Development,Media Manager I,5/24/2024,2/1/2026,21,9609.14,10757.69,38.5,4294.26,4140.51,20520.58,6/7/2026,091408161,CNY
96,96,Lorens Lightwing,Business Development,VP Sales,10/22/2024,8/7/2026,76,19090.78,232.64,16.9,5435.19,2549.57,22209.04,8/27/2026,125000118,USD
97,97,Shea Danher,Accounting,Payment Adjustment Coordinator,4/23/2024,4/27/2026,44,3219.6,4158.92,14.8,4901.26,2392.42,9887.36,4/11/2024,122238938,PHP
98,98,Lemuel Turnor,Engineering,Media Manager III,7/19/2025,7/17/2025,38,13977.74,16870.34,50.3,986.12,1384.35,30449.85,5/6/2026,111926086,VEF
99,99,Tonia Eastam,Research and Development,Senior Editor,11/6/2024,3/22/2024,60,11448.58,6763.72,38.9,1844.74,655.39,19401.65,1/19/2024,082905181,CNY
100,100,Lorraine Hastin,Business Development,Web Developer IV,9/4/2025,6/4/2026,32,9502.29,4881.54,20.3,3366.34,7820.29,9929.88,11/13/2026,111311413,JPY
101,101,Sherie Rysdale,Services,Staff Accountant III,5/6/2026,10/7/2026,73,15956.79,9068.74,29.7,4036.08,5148.96,23912.65,2/4/2025,074907414,CNY
102,102,Yalonda Blainey,Research and Development,Accounting Assistant IV,7/3/2025,11/12/2025,91,10000.65,13094.7,17.8,1752.95,4225.54,20622.76,8/20/2026,113110984,ILS
103,103,Gertrud Sausman,Engineering,Associate Professor,7/20/2024,5/10/2025,27,9581.36,9089.23,45.8,5881.75,1880.7,22671.64,8/9/2025,065301197,CNY
104,104,Napoleon Rudram,Accounting,Sales Representative,10/5/2026,12/8/2025,26,19220.53,9063.43,8.6,925.12,827.41,28381.67,8/11/2024,091403865,SEK
105,105,Kissiah Scimonelli,Human Resources,Desktop Support Technician,5/7/2026,6/17/2024,99,12196.29,13994.58,59.3,2733.21,6763.76,22160.32,2/13/2024,113093865,CNY
106,106,Aindrea Tipens,Services,General Manager,3/9/2025,6/14/2026,78,14053.13,8765.99,46.9,4244.03,1420.86,25642.29,7/14/2025,113100745,EUR
107,107,Cletis Leishman,Engineering,Account Executive,7/22/2025,8/16/2026,90,11645.57,437.7,17.4,2405.29,4244.37,10244.19,10/18/2024,053111836,CZK
108,108,Marisa Pashba,Accounting,Programmer III,3/21/2025,3/7/2025,17,16005.34,1534.32,47.9,3684.19,6517.42,14706.43,7/23/2024,011104050,RUB
109,109,Estella Dominguez,Training,Systems Administrator III,8/13/2024,3/9/2026,88,9846.13,13821.46,52.4,3662.34,1043.17,26286.76,1/21/2026,082907545,GBP
110,110,Addia Drysdell,Engineering,Quality Control Specialist,12/10/2026,10/15/2024,3,18210.05,11218.96,26.1,5504.54,4221.74,30711.81,3/19/2024,061000010,HRK
111,111,Viviene Boorer,Accounting,Operator,10/24/2026,12/5/2024,78,11869.21,5981.96,10.8,3119.79,4770.6,16200.36,10/21/2025,071925871,IDR
112,112,Bayard Boundey,Accounting,Tax Accountant,7/20/2026,9/17/2025,45,17628.67,9738.56,1.3,607.22,6637.3,21337.15,6/19/2024,061104958,SEK
113,113,Aurelie Kasparski,Sales,Programmer Analyst I,9/13/2024,12/25/2026,47,3557.9,18197.02,30.9,3656.32,6553.13,18858.11,4/20/2026,101905512,CNY
114,114,Lynda Portam,Engineering,Assistant Professor,7/18/2024,10/8/2026,55,13008.02,9319.31,35.4,3079.4,4776.67,20630.06,10/29/2024,083902374,NPR
115,115,Oralia O'Hartigan,Human Resources,Research Associate,5/3/2025,7/25/2024,48,8582.46,17855.78,33.2,5890.24,3470.19,28858.29,5/16/2026,104904882,RUB
116,116,Marcella Sultana,Legal,Occupational Therapist,8/25/2024,5/27/2025,98,12291.37,18084.64,20.4,5631.61,4199.09,31808.53,7/30/2025,072407000,CNY
117,117,Jenica Edel,Sales,Director of Sales,1/6/2024,3/21/2026,97,16236.79,11051.61,11.0,1600.59,291.02,28597.97,6/2/2025,072400052,PHP
118,118,Darnall Geeritz,Sales,Internal Auditor,12/29/2024,5/21/2025,22,13890.4,981.42,39.8,4527.93,5346.95,14052.8,8/11/2026,053012265,IDR
119,119,Daphna Broadfoot,Engineering,Teacher,1/2/2025,9/3/2024,3,8800.58,810.71,13.7,4854.08,7350.81,7114.56,4/7/2025,091301815,USD
120,120,Carolee Pearsall,Business Development,Data Coordinator,8/18/2026,4/27/2026,76,11718.4,4903.22,21.2,58.88,6249.25,10431.25,12/29/2025,121143697,IDR
121,121,Ignacius Elliss,Product Management,Engineer II,1/30/2025,12/17/2024,3,7031.74,15865.45,51.1,2712.7,2925.71,22684.18,6/23/2026,056009482,CNY
122,122,Yolanthe Galle,Training,Software Test Engineer II,8/20/2026,3/7/2025,66,8982.93,4530.65,53.2,206.26,3676.87,10042.97,1/31/2025,011400071,CNY
123,123,Fannie Cullinane,Research and Development,Sales Representative,11/7/2024,10/16/2025,2,3043.62,7800.15,24.0,4190.5,2955.53,12078.74,4/19/2026,062201397,EUR
124,124,Stormi Viner,Sales,Payment Adjustment Coordinator,3/24/2026,9/15/2025,55,12659.73,7613.65,40.0,1197.94,5114.62,16356.7,1/4/2025,236074619,DOP
125,125,Timothy Poge,Business Development,Automation Specialist I,12/4/2026,6/29/2026,54,8573.64,6781.06,24.5,4305.42,6460.59,13199.53,10/12/2026,072400052,EUR
126,126,Beatrisa Cantopher,Human Resources,Staff Accountant III,2/14/2025,5/20/2024,89,5349.44,2580.01,49.6,1553.37,5219.35,4263.47,1/27/2025,042204123,IRR
127,127,Sybilla Fincke,Training,Account Coordinator,1/13/2026,10/14/2026,36,12806.78,19784.2,9.1,4652.51,4687.97,32555.52,2/19/2025,303072793,USD
128,128,Cecelia Gregolotti,Product Management,Desktop Support Technician,5/10/2024,7/24/2024,86,17610.21,4545.48,48.0,4338.89,2468.4,24026.18,6/16/2026,111913329,CNY
129,129,Khalil Jollands,Human Resources,Computer Systems Analyst II,6/27/2025,12/13/2025,76,14328.98,3469.66,36.9,5670.0,6911.9,16556.74,3/25/2024,057004680,SEK
130,130,Shannah Jaume,Accounting,Nurse,10/7/2024,3/16/2026,4,13863.8,2458.57,5.6,4011.69,4687.33,15646.73,9/2/2024,063113523,IDR
131,131,Frants Kembley,Research and Development,Chief Design Engineer,3/28/2026,10/21/2026,92,9678.76,6203.97,55.3,1979.31,3643.74,14218.3,4/29/2024,084309125,IDR
132,132,Geralda Alchin,Support,Staff Scientist,2/6/2025,5/28/2024,2,11328.7,14224.31,47.3,1526.07,5817.83,21261.25,1/16/2026,091501767,ZAR
133,133,Jodee Hourstan,Engineering,VP Accounting,2/5/2026,10/24/2024,66,17234.48,10038.81,48.1,4560.52,2392.27,29441.54,1/2/2025,211170046,CNY
134,134,Constantia Showen,Business Development,Programmer III,11/24/2026,8/16/2025,68,14760.82,11287.23,8.1,3223.55,950.84,28320.76,7/26/2025,271984162,THB
135,135,Roberto Ceschini,Accounting,Account Representative I,7/19/2025,12/25/2024,11,6991.68,5195.52,8.0,1986.47,1513.53,12660.14,1/5/2025,122217056,CNY
136,136,Brett Moffatt,Product Management,Senior Sales Associate,6/28/2024,5/14/2024,66,8034.57,17822.69,16.4,619.45,7717.26,18759.45,10/24/2024,063112249,BRL
137,137,Lauritz Hapgood,Sales,Administrative Officer,10/15/2026,6/20/2024,18,10979.11,6981.0,30.0,1228.19,7274.79,11913.51,12/23/2025,051000253,PHP
138,138,Moritz Mioni,Research and Development,Senior Developer,2/19/2025,4/16/2024,80,19464.38,13482.17,44.0,3571.01,7159.34,29358.22,7/3/2024,091409746,IDR
139,139,Saundra Grenshields,Legal,GIS Technical Architect,12/5/2025,7/1/2026,18,16420.03,2379.13,36.2,5609.88,7109.35,17299.69,5/7/2025,122220849,CNY
140,140,Stewart Sherel,Training,Nurse,8/19/2025,11/20/2024,45,15285.07,12703.9,23.9,432.62,1414.03,27007.56,2/25/2026,026012881,CNY
141,141,Helenelizabeth Robak,Accounting,Account Representative I,12/23/2025,8/9/2025,68,3140.84,16303.41,58.6,5124.29,7982.18,16586.36,9/20/2024,064103228,BRL
142,142,Yoshi Bernardotti,Services,Business Systems Development Analyst,12/24/2026,5/13/2024,93,5164.08,17383.6,1.9,2012.54,1570.13,22990.09,6/15/2025,071915580,BGN
143,143,Martin Ells,Business Development,Marketing Assistant,2/15/2025,6/27/2026,33,17020.68,2139.75,39.4,2237.57,6206.87,15191.13,10/20/2024,062203269,PLN
144,144,Wylma Lodewick,Services,Operator,8/9/2026,10/25/2026,2,7304.64,11241.73,36.2,1017.98,502.89,19061.46,1/10/2026,071922298,RUB
145,145,Marley Deboick,Research and Development,Executive Secretary,9/10/2024,11/30/2024,57,6329.31,12828.38,1.4,3343.28,5922.89,16578.08,11/12/2026,082900995,BDT
146,146,Cori Sartin,Sales,Staff Scientist,8/22/2025,6/10/2026,85,2637.82,5887.39,14.8,5359.89,4159.41,9725.69,7/24/2025,111104581,IDR
147,147,Marris Goding,Marketing,Web Designer I,9/7/2026,1/5/2025,81,16429.09,16542.42,22.6,5054.43,2548.12,35477.82,2/5/2026,064000020,BRL
148,148,Mose Semiraz,Engineering,Occupational Therapist,9/3/2025,7/25/2025,13,5116.49,19634.66,23.0,2927.54,719.14,26959.55,3/9/2026,082901596,PHP
149,149,Olivia Vasechkin,Accounting,Editor,11/9/2024,6/21/2024,40,8074.29,18597.41,19.3,3390.51,110.54,29951.67,7/29/2024,251473091,CNY
150,150,Kasey Charrisson,Engineering,Health Coach III,11/29/2025,6/7/2025,66,15816.8,8969.29,3.9,344.91,3806.58,21324.42,8/2/2025,111911965,IRR
151,151,Ivor Culcheth,Legal,VP Marketing,8/29/2024,2/15/2026,81,9794.73,5273.49,30.4,5703.96,6382.74,14389.44,12/21/2026,122105566,CNY
152,152,Ebonee Stennett,Sales,Actuary,8/15/2026,9/15/2025,16,4624.98,11681.53,21.1,3102.15,330.65,19078.01,7/18/2024,104102257,IDR
153,153,Kahaleel Southerton,Support,Health Coach IV,9/24/2026,9/5/2026,17,5888.42,12430.41,51.5,434.45,896.22,17857.06,5/22/2025,065201611,CZK
154,154,Rory Chittock,Sales,Data Coordinator,6/15/2026,5/4/2025,69,11156.9,4150.48,47.9,1409.02,4704.98,12011.42,1/10/2024,114919676,CNY
155,155,Adiana Kaine,Accounting,Staff Scientist,10/10/2026,6/22/2025,4,7387.54,9903.77,14.5,1867.13,3185.94,15972.5,4/12/2025,063109058,CNY
156,156,Geri Rennebach,Product Management,Sales Representative,2/18/2026,1/13/2024,21,5114.8,19338.17,14.7,496.62,5920.13,19029.46,11/27/2024,073900739,IDR
157,157,Allegra Lewing,Business Development,Recruiter,8/20/2025,11/6/2026,92,17045.87,13116.1,0.2,2384.88,569.79,31977.06,11/27/2024,103112617,CNY
158,158,Sisile Capitano,Human Resources,Clinical Specialist,11/2/2024,12/17/2026,51,18940.49,17486.88,48.0,5336.71,851.87,40912.21,2/25/2025,051006778,IDR
159,159,Thacher Ullock,Product Management,Programmer I,10/13/2025,12/1/2025,56,13510.25,9251.56,50.7,1568.63,3636.38,20694.06,6/24/2025,121000853,XAF
160,160,Gregoire Treace,Human Resources,Senior Quality Engineer,9/12/2025,10/3/2026,44,16470.46,5383.93,12.8,1097.5,4275.02,18676.87,11/25/2024,103101929,BRL
161,161,Veronique Nunns,Engineering,Technical Writer,1/19/2025,8/4/2025,38,10487.04,4909.75,29.1,3223.0,2617.38,16002.41,12/1/2024,021410080,BRL
