record_id,employee_id,employee_name,pay_period,department,job_title,base_salary_month,overtime_hours,overtime_rate,overtime_pay,bonus,pre_tax_deductions,taxes_withheld,post_tax_deductions,gross_pay,net_pay,pay_method,payroll_notes
36,36,Freddi Donahue,3/14/2025,Human Resources,Account Coordinator,8693.53,17.0,98.69,1677.73,1768.42,824.44,11388.58,2780.13,11315.24,-2853.47,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
37,37,Shelley Benettini,4/2/2025,Legal,Geological Engineer,7350.72,34.35,97.03,3332.9805,850.76,1136.71,530.09,3798.95,10397.7505,6068.7105,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
38,38,Inger Corke,10/25/2025,Research and Development,Information Systems Manager,10165.38,28.3,18.83,532.889,14699.63,1528.84,4466.88,1066.21,23869.059,18335.969,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
39,39,Dniren Frankcom,5/31/2025,Marketing,Dental Hygienist,13794.09,10.56,108.67,1147.5552,2353.1,704.09,4854.87,4555.55,16590.6552,7180.2352,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
40,40,Adelina Bratten,8/9/2025,Accounting,Legal Assistant,19209.56,24.24,132.78,3218.5872,12493.82,1922.9,4562.87,1223.81,32999.0672,27212.3872,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
41,41,Giselbert Finkle,1/12/2025,Business Development,Project Manager,10546.16,31.44,92.58,2910.7152,6410.57,2048.87,6139.68,3253.28,17818.5752,8425.6152,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
42,42,Reagen Manton,5/6/2025,Human Resources,Compensation Analyst,14479.89,21.89,119.11,2607.3179,14931.96,119.65,8500.98,3299.36,31899.5179,20099.1779,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
43,43,Missie Mucklestone,11/12/2025,Business Development,Financial Analyst,17944.53,26.58,136.68,3632.9544,4254.35,757.17,4915.88,2626.05,25074.6644,17532.7344,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
44,44,Berry Barles,1/26/2025,Legal,Physical Therapy Assistant,10626.83,47.14,95.54,4503.7556,2280.63,4531.23,6079.1,4858.35,12879.9856,1942.5356,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
45,45,Giordano Maffetti,8/20/2025,Research and Development,Account Coordinator,7421.34,35.36,111.13,3929.5568,11258.73,885.49,4619.4,449.95,21724.1368,16654.7868,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
46,46,Shermy Muckart,7/18/2025,Research and Development,Financial Analyst,10582.25,34.29,69.2,2372.868,11285.23,2729.56,14485.9,4428.9,21510.788,2595.988,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
47,47,Wilie Gurry,3/13/2025,Product Management,Media Manager II,7836.37,46.08,16.06,740.0448,4276.42,943.89,6519.79,413.57,11908.9448,4975.5848,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
48,48,Leland McCormick,8/16/2025,Engineering,Environmental Specialist,17553.16,12.11,149.01,1804.5111,9081.06,2407.38,545.93,849.6,26031.3511,24635.8211,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
49,49,Thatch O'Farris,2/6/2025,Services,Senior Developer,11144.98,39.47,90.02,3553.0894,18785.02,4847.58,11649.15,4915.91,28635.5094,12070.4494,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
50,50,Devina Greendale,4/22/2025,Support,Editor,17397.82,53.65,70.35,3774.2775,16.82,2925.46,8219.18,2587.14,18263.4575,7457.1375,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
51,51,Tiffi Dunge,12/4/2025,Product Management,Budget/Accounting Analyst III,13181.04,26.6,43.91,1168.006,18578.6,3324.9,12391.82,3352.66,29602.746,13858.266,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
52,52,Jordana Dowrey,9/7/2025,Human Resources,VP Quality Control,8293.94,8.78,149.31,1310.9418,7063.68,4946.18,9860.68,1785.65,11722.3818,76.0518,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
53,53,Nike Thaine,9/28/2025,Support,Payment Adjustment Coordinator,16511.92,11.01,87.61,964.5861,3562.88,2543.4,4062.93,4887.0,18495.9861,9546.0561,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
54,54,Anabel Gorch,9/23/2025,Sales,Senior Developer,11652.87,23.84,115.8,2760.672,2187.92,1004.97,2894.13,3080.63,15596.492,9621.732,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
55,55,Jefferey Dorran,9/27/2025,Services,Executive Secretary,9390.33,16.99,118.8,2018.412,7667.84,1539.64,14634.95,185.29,17536.942,2716.702,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
56,56,Corene Chasles,3/3/2025,Support,Compensation Analyst,16984.32,38.39,148.2,5689.398,16840.62,2064.14,7413.47,2295.32,37450.198,27741.408,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
57,57,Chelsey Bugbee,12/21/2025,Business Development,Research Associate,15626.52,50.71,88.05,4465.0155,9072.91,2954.83,5853.63,1568.54,26209.6155,18787.4455,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
58,58,Carny Cavanaugh,3/11/2025,Product Management,Operator,7216.72,47.83,27.6,1320.108,18863.1,159.78,1515.74,3527.69,27240.148,22196.718,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
59,59,Gweneth Caddie,8/26/2025,Human Resources,VP Accounting,3893.48,40.63,114.09,4635.4767,13957.22,626.3,5540.18,3576.89,21859.8767,12742.8067,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
60,60,Gilbertine Brimelow,7/19/2025,Marketing,Desktop Support Technician,12782.26,15.74,133.17,2096.0958,8238.39,1686.87,3948.12,3615.34,21429.8758,13866.4158,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
61,61,Nathan Menichillo,7/11/2025,Business Development,Business Systems Development Analyst,19159.82,3.6,106.44,383.184,8893.13,2465.65,4592.39,157.62,25970.484,21220.474,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
62,62,Gigi Londing,10/25/2025,Legal,Paralegal,4619.18,34.65,48.69,1687.1085,16319.89,3453.06,13877.39,2485.73,19173.1185,2809.9985,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
63,63,Dennie Uphill,7/30/2025,Legal,Automation Specialist II,6539.32,27.37,91.86,2514.2082,11191.34,2682.06,7560.7,2533.69,17562.8082,7468.4182,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
64,64,Brook Harrie,12/7/2025,Human Resources,Teacher,14003.77,47.72,92.15,4397.398,11019.87,293.77,4008.34,487.82,29127.268,24631.108,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
65,65,Herta Rajchert,3/3/2025,Sales,Product Engineer,13390.26,57.13,70.73,4040.8049,15348.96,3236.36,14739.82,569.04,29543.6649,14234.8049,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
66,66,Nat Aguirrezabal,3/25/2025,Training,Food Chemist,9685.14,53.31,107.99,5756.9469,15353.23,2480.19,13618.84,397.4,28315.1269,14298.8869,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
67,67,Nikolia Juschke,8/24/2025,Training,Occupational Therapist,12534.57,52.27,71.34,3728.9418,3217.72,471.32,6900.39,2722.29,19009.9118,9387.2318,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
68,68,Linc Koeppke,12/2/2025,Marketing,Dental Hygienist,3010.52,59.41,70.34,4178.8994,12655.65,4820.57,1305.53,3265.8,15024.4994,10453.1694,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
69,69,Mollie Gauford,1/20/2025,Services,Structural Analysis Engineer,11917.08,36.5,31.89,1163.985,3746.34,518.66,7306.19,4167.61,16308.745,4834.945,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
70,70,Amalea Penella,11/20/2025,Product Management,Environmental Specialist,13718.05,6.28,102.46,643.4488,14117.96,4758.12,7718.95,4327.5,23721.3388,11674.8888,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
71,71,Tristan Klulicek,10/6/2025,Human Resources,Health Coach II,13695.38,18.47,39.94,737.6918,1145.36,4077.87,7765.31,4392.87,11500.5618,-657.6182,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
72,72,Wileen Lowes,6/9/2025,Marketing,Social Worker,18831.86,21.78,51.87,1129.7286,836.69,3795.31,9523.17,1027.1,17002.9686,6452.6986,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
73,73,Ann-marie Reaney,7/1/2025,Marketing,Data Coordinator,10718.92,9.5,92.24,876.28,9813.85,3396.57,7288.42,2921.29,18012.48,7802.77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
74,74,Bryan Dorbin,1/30/2025,Engineering,Occupational Therapist,10840.26,37.55,104.25,3914.5875,11722.99,2196.5,4771.33,4344.74,24281.3375,15165.2675,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
75,75,Perrine Duding,10/15/2025,Sales,Software Consultant,16956.51,3.16,25.24,79.7584,16536.49,2222.52,6211.7,3421.76,31350.2384,21716.7784,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
76,76,Maximilien Christopher,3/22/2025,Sales,Editor,3288.05,5.97,111.64,666.4908,14289.17,910.16,564.81,2016.88,17333.5508,14751.8608,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
77,77,Marleah Champney,3/1/2025,Product Management,Marketing Manager,16020.81,31.83,137.2,4367.076,14179.27,322.38,10337.76,4791.05,34244.776,19115.966,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
78,78,Dar Brooking,2/18/2025,Sales,Civil Engineer,12479.29,22.33,81.22,1813.6426,1468.16,1104.92,8481.78,4567.29,14656.1726,1607.1026,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
79,79,Morty Sheivels,9/23/2025,Marketing,Project Manager,18505.72,44.55,68.6,3056.13,9244.17,441.68,11825.7,363.02,30364.34,18175.62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
80,80,Lyn Crock,7/1/2025,Product Management,VP Accounting,9302.44,10.27,128.5,1319.695,295.35,4038.63,3737.77,93.75,6878.855,3047.335,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
81,81,Winfred Stollmeyer,7/13/2025,Marketing,Senior Sales Associate,15206.92,42.28,76.51,3234.8428,13746.89,3957.05,6419.51,4268.45,28231.6028,17543.6428,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
82,82,Helaina Abdy,11/15/2025,Sales,Office Assistant III,3696.77,43.65,146.76,6406.074,14925.65,2431.57,5436.02,4625.77,22596.924,12535.134,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
83,83,Eberhard Gorman,5/4/2025,Engineering,Accountant I,2608.83,54.11,42.23,2285.0653,11401.23,3994.09,4795.49,2860.59,12301.0353,4644.9553,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
84,84,Kylen Dowding,10/21/2025,Human Resources,Human Resources Assistant III,9451.38,3.16,35.7,112.812,879.2,3506.06,5198.92,1670.17,6937.332,68.242,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
85,85,Stern Onions,6/8/2025,Engineering,Engineer IV,14115.16,58.97,53.62,3161.9714,17674.2,2298.01,5410.92,133.91,32653.3214,27108.4914,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
86,86,Noah Carff,10/2/2025,Research and Development,Developer III,14550.22,40.49,58.35,2362.5915,16072.94,3579.67,13646.73,1186.22,29406.0815,14573.1315,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
87,87,Rosaline Bladen,11/28/2025,Training,Tax Accountant,12188.58,46.47,22.43,1042.3221,19768.41,3386.97,6741.1,326.04,29612.3421,22545.2021,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
88,88,Siward Cardinale,3/8/2025,Legal,Dental Hygienist,10008.0,1.87,27.84,52.0608,10914.49,4792.02,10333.94,213.9,16182.5308,5634.6908,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
89,89,Atlante Cockren,7/19/2025,Legal,Senior Financial Analyst,6577.09,9.4,30.08,282.752,9397.7,206.36,3044.46,684.17,16051.182,12322.552,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
90,90,Tressa Jencey,5/17/2025,Legal,Director of Sales,13419.74,16.98,56.12,952.9176,13525.93,3137.29,3009.04,2519.76,24761.2976,19232.4976,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
91,91,Uriel Garnsworth,6/23/2025,Services,Director of Sales,16131.62,48.53,28.77,1396.2081,11818.91,3968.46,12076.51,3013.01,25378.2781,10288.7581,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
92,92,Noah Koba,10/22/2025,Product Management,Programmer Analyst I,14692.69,41.76,149.94,6261.4944,18628.57,3096.15,1490.72,3999.46,36486.6044,30996.4244,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
93,93,Ferdy Ciccoloi,2/14/2025,Accounting,Health Coach I,4809.53,38.04,53.27,2026.3908,278.17,4745.09,6579.52,3186.7,2369.0008,-7397.2192,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
94,94,Augusto Dickie,5/1/2025,Human Resources,VP Accounting,17678.94,2.2,125.06,275.132,13435.08,2216.56,14005.34,4364.87,29172.592,10802.382,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
95,95,Lesley Postgate,4/21/2025,Sales,Nurse Practicioner,13467.18,24.79,50.58,1253.8782,679.27,1504.8,1523.03,4677.74,13895.5282,7694.7582,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
96,96,Pattin Fautley,5/15/2025,Support,Assistant Manager,16345.36,1.41,118.81,167.5221,13344.16,1211.43,6422.31,1997.12,28645.6121,20226.1821,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
97,97,Eryn MacClancey,4/25/2025,Sales,General Manager,2567.96,21.99,143.75,3161.0625,1373.71,1224.98,6107.15,4799.35,5877.7525,-5028.7475,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
98,98,Jemimah Gaynor,3/18/2025,Accounting,Database Administrator III,8791.04,22.4,142.18,3184.832,7475.52,3490.35,8155.19,367.43,15961.042,7438.422,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
99,99,Pepi Behan,7/29/2025,Services,Assistant Media Planner,7841.63,47.94,65.61,3145.3434,3693.73,75.12,1796.35,2687.2,14605.5834,10122.0334,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
100,100,Rycca O'Fallon,10/17/2025,Research and Development,Technical Writer,17135.79,35.36,33.31,1177.8416,13146.45,4224.21,13462.73,3161.05,27235.8716,10612.0916,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
101,101,Aymer Royds,8/11/2025,Business Development,Web Developer II,15253.93,59.85,62.2,3722.67,10344.8,137.1,14717.7,3860.77,29184.3,10605.83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
102,102,Hastie Acory,6/24/2025,Business Development,Teacher,6610.22,43.26,123.72,5352.1272,2291.77,1397.65,11201.72,2301.26,12856.4672,-646.5128,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
103,103,Noami Dummer,6/22/2025,Research and Development,Sales Associate,17249.22,10.59,147.8,1565.202,11566.7,2638.45,10226.77,2777.69,27742.672,14738.212,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
104,104,Brigida Lambourn,4/27/2025,Services,Marketing Assistant,4991.84,27.36,128.91,3526.9776,11510.77,906.46,10035.03,2662.76,19123.1276,6425.3376,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
105,105,Martha Hutchcraft,4/25/2025,Marketing,Data Coordinator,9331.09,12.63,44.5,562.035,6815.17,3768.63,7651.19,1688.64,12939.665,3599.835,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
106,106,Alicea Kantor,3/4/2025,Legal,Information Systems Manager,16649.64,52.99,81.08,4296.4292,2434.03,271.35,9220.08,1378.94,23108.7492,12509.7292,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
107,107,Natty Bortolotti,4/28/2025,Legal,Human Resources Assistant IV,5039.94,52.0,19.76,1027.52,7057.69,4899.39,216.89,4992.0,8225.76,3016.87,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
108,108,Floris Toovey,3/10/2025,Research and Development,Sales Representative,2561.15,17.64,55.12,972.3168,6551.36,3314.59,11564.5,884.44,6770.2368,-5678.7032,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
109,109,Lon Hansod,10/8/2025,Support,Web Developer III,10007.32,55.39,104.75,5802.1025,3608.65,4903.43,10159.02,1816.91,14514.6425,2538.7125,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
110,110,Raviv Hentzeler,7/12/2025,Support,Desktop Support Technician,13097.35,3.95,144.6,571.17,12019.64,2942.27,11081.92,4870.19,22745.89,6793.78,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
111,111,Judah Donavan,8/10/2025,Business Development,Sales Representative,8341.93,47.1,145.73,6863.883,4792.04,1624.46,11543.06,1102.13,18373.393,5728.203,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
112,112,Annabelle Vearncomb,9/20/2025,Sales,Safety Technician III,3423.91,18.4,64.2,1181.28,8842.86,2777.04,12739.35,2276.87,10671.01,-4345.21,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
113,113,Adan Devorill,6/26/2025,Human Resources,Staff Accountant III,9150.18,19.34,30.62,592.1908,94.67,3356.54,5115.43,1145.28,6480.5008,219.7908,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
114,114,Kakalina Hazlehurst,7/2/2025,Research and Development,Compensation Analyst,11593.45,49.11,141.97,6972.1467,5635.04,4302.11,13785.12,1587.13,19898.5267,4526.2767,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
115,115,Clim Matantsev,1/14/2025,Human Resources,Web Designer III,5244.83,42.55,71.4,3038.07,3466.15,4879.34,12626.31,3949.43,6869.71,-9706.03,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
116,116,Myrah Dainton,12/9/2025,Business Development,Programmer Analyst IV,9029.66,1.56,44.28,69.0768,11411.98,1167.22,8206.9,3500.52,19343.4968,7636.0768,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass
